date,SPY Buy & Hold,Equal Weight Universe,Top-k Momentum,Top-k Vol-Adjusted Momentum,Ridge Predicted Return,Gradient Boosting Predicted Return
2021-07-15,1.877658065696139,1.809580602084107,1.8239895548882232,1.7674255074413763,1.6726861259037666,1.8519775764004403
2021-07-16,1.8629300085030878,1.7953692513157873,1.806809076414312,1.7507778156804994,1.6563110828446317,1.836648868410145
2021-07-19,1.8354188697466083,1.782607394857229,1.7839580841924483,1.7286354594290452,1.6386822572811077,1.815990004696425
2021-07-20,1.8617211677912893,1.7970080297834259,1.817839470570904,1.7614661444251711,1.658900862976096,1.8215660551569275
2021-07-21,1.8767943058548224,1.8068455224201854,1.837860467809177,1.7808662671443527,1.6747924215278611,1.8324630258721955
2021-07-22,1.8807243073663027,1.8085173378766053,1.833454219619887,1.776596661860157,1.6672223827392485,1.835038532640681
2021-07-23,1.9000730918998576,1.8108371994181358,1.849731037967242,1.7923687170509377,1.6719597791240604,1.8283315012131847
2021-07-26,1.9047375360649828,1.8064822918416772,1.8535274637535908,1.796047411237491,1.6730357436876115,1.816125344912245
2021-07-27,1.896056502871223,1.7963829655157535,1.8366932223576262,1.7797352193381921,1.665205714881401,1.802468717272068
2021-07-28,1.8952791895250456,1.8104196174135712,1.847796624409545,1.7904942919180462,1.6785572794468404,1.8243952082579635
2021-07-29,1.9031400386800954,1.8184705086521595,1.856187392126268,1.798624852123179,1.6929565149945847,1.8384139418595082
2021-07-30,1.893897314800954,1.809485677385146,1.8458702496084636,1.7886276562505343,1.6818821509104538,1.8245552683284787
2021-09-01,1.8949031865925314,1.8178837417432183,1.851356819167165,1.7947337094265505,1.6889002820194954,1.8304967787096385
2021-09-02,1.9007327237503093,1.8206880420093017,1.857250539688028,1.7987174955168792,1.6873196415867513,1.8310648280486646
2021-09-03,1.9002716249998337,1.823193406479803,1.856139163485892,1.8031315814386903,1.6911997487140795,1.842233633931784
2021-09-07,1.8934772999902296,1.8152494336224247,1.8505413897995155,1.8022725907513368,1.678693992261919,1.831525691535728
2021-09-08,1.89117057371966,1.8064791351033986,1.840912963085371,1.7946950999305065,1.6729322855320854,1.8230400005673295
2021-09-09,1.8830758050704615,1.8076905331238393,1.8358738713006546,1.7890484172999161,1.6810873999881357,1.822593251709478
2021-09-10,1.8682287539766709,1.7967179635915709,1.8204160634305528,1.7785006790832074,1.6726724033527798,1.8135645105278426
2021-09-13,1.873009965938461,1.8037821890354702,1.8250001257295723,1.7842836636366677,1.6794087300494078,1.8199394060152474
2021-09-14,1.862901810348517,1.7999332788287266,1.8122361403639153,1.7769109809975003,1.6851196583600954,1.8195992307018791
2021-09-15,1.8784624894757875,1.804616754738481,1.827236119791535,1.7880068442270394,1.679748100842308,1.822338462488042
2021-09-16,1.8754845885761475,1.7942273716127608,1.8271284902815006,1.7865236727112381,1.6581734426756676,1.8080360067074344
2021-09-17,1.8572153822475397,1.7829370066870505,1.8147782002742545,1.7658589838567957,1.6522855429306522,1.7920379423619077
2021-09-20,1.8262479518205998,1.7607925343749815,1.7778084420769051,1.7329866298320713,1.648255218522423,1.7729060036717412
2021-09-21,1.8245227002439772,1.7670526493532672,1.778878231909184,1.738854579410117,1.6555128656422125,1.7834085995165783
2021-09-22,1.842320810730103,1.7807819734384114,1.7994146602911707,1.7528281087959574,1.6636471789169511,1.7897213968391559
2021-09-23,1.8647051214106671,1.7867927900469966,1.8228536058961062,1.7716571874288403,1.6490630901778502,1.7948101059656325
2021-09-24,1.8677764198000086,1.777976044602455,1.821493875035782,1.767647234585565,1.6364601326410182,1.78899401486807
2021-09-27,1.8624329056494888,1.7801699614961048,1.8241384347037501,1.7608914480140467,1.6391355804286478,1.7851042675852598
2021-09-28,1.8249012202755521,1.7468028234936193,1.7808497885108785,1.7196533801209721,1.6182603354913092,1.7495086709098155
2021-09-29,1.8279730664507572,1.7426954742297487,1.7796150646437845,1.7183641554164455,1.6117405780235192,1.744588381004822
2021-09-30,1.8056307983352053,1.7418524059213027,1.76462438813643,1.7069918359810632,1.6256242646596628,1.7506041621195574
2021-10-01,1.8270892139602408,1.753382121934411,1.7847546014050863,1.7215019737065913,1.630867470540939,1.7649014879629195
2021-10-04,1.8035274375664045,1.7368429961662653,1.759189390576118,1.7005968890342293,1.624034091708925,1.7434693806474673
2021-10-05,1.8222926639942767,1.7435293846784738,1.7752297067771183,1.7086729885973173,1.620106448240789,1.7517490807892808
2021-10-06,1.8298659405015656,1.7438766823487268,1.7784017696814607,1.7179028617795948,1.6215689564062907,1.761211641484484
2021-10-07,1.845686544020996,1.7550363031574647,1.7981057821988031,1.7221192116066486,1.6236247281243845,1.7655342865916037
2021-10-08,1.8423208107301035,1.750703090231461,1.7895139755808698,1.714192012771093,1.622098467969093,1.757407241003543
2021-10-11,1.8289827727433785,1.7431400661896062,1.777201283268483,1.7042229296966487,1.618641977281911,1.7471868347417774
2021-10-12,1.8244803837860337,1.747260356783352,1.7769304941478044,1.7105575066034917,1.627538374395966,1.7536811079864552
2021-10-13,1.8310442278936332,1.7641437137140705,1.7866121564018715,1.7227205679673474,1.6499944815322964,1.7661508033031752
2021-10-14,1.8618436250069899,1.7816050055137975,1.8164273084050258,1.7450889812997932,1.6551037852266173,1.78908313017632
2021-10-15,1.876023062079822,1.7840112890916355,1.8229499054851042,1.749794413808616,1.649785943619489,1.7939071878673196
2021-10-18,1.8815771998948,1.7860231596308604,1.8305087113648548,1.7601212352961482,1.6496241162983398,1.804494351220976
2021-10-19,1.8960928405412634,1.7931110207266865,1.8421109342672375,1.7609942115465334,1.6511294734467399,1.805389335430575
2021-10-20,1.903540537139379,1.7968462643850527,1.847799430343513,1.758571491764843,1.6521327862882236,1.802905538250595
2021-10-21,1.908505120418926,1.7963257422687107,1.8547384810514869,1.7629816930243705,1.647414602781201,1.807426921835417
2021-10-22,1.9065278873451617,1.7986896528188916,1.8474384786089335,1.763907004302535,1.6556631528234214,1.8083755604525111
2021-10-25,1.9167521735381363,1.807345710022125,1.8628948374690397,1.77218215275649,1.6614996805736624,1.8168593275597038
2021-10-26,1.9184771512218275,1.8058514922961795,1.8607294260202147,1.7794586261365855,1.6591227736083456,1.824319242733662
2021-10-27,1.909978253551942,1.8028261473363225,1.8480150084870746,1.7889996020775905,1.6661725578106854,1.8341007491693717
2021-10-28,1.9284071394597169,1.8151293482160415,1.8730839341880436,1.7993579250561247,1.6646989354068382,1.8447202081748433
2021-10-29,1.932320521667494,1.810180120155803,1.877257903020863,1.8053586337815324,1.6536194933834538,1.8508721963340558
2021-12-01,1.910857685766964,1.7991875858927076,1.8455789577874628,1.7921492463326045,1.6460955019330255,1.8351801376396997
2021-12-02,1.9401252269192528,1.8173873295088985,1.8765994079802486,1.8063494355006098,1.668804513707266,1.8564458624280902
2021-12-03,1.9232433566434703,1.805829033363527,1.8474382088540762,1.7978245201996639,1.6561752898931699,1.8315711522918126
2021-12-06,1.9460210354290013,1.8164341290352606,1.8720274646845672,1.8014929492093736,1.6639627586268744,1.848436348433023
2021-12-07,1.986273948068615,1.8440367650871994,1.9181996644196586,1.8271455164702821,1.6811217243561705,1.8894840959522425
2021-12-08,1.991533871831586,1.8448497262373666,1.927119080252864,1.8209560855180655,1.677499290922171,1.896485148643516
2021-12-09,1.9780880709137185,1.8296428867121834,1.8987818035591977,1.8113218543143075,1.6652941261044447,1.8798978951608845
2021-12-10,1.9967086152018594,1.8354660069364732,1.9098690494850463,1.82211167818636,1.6628628910845646,1.8931093414868287
2021-12-13,1.9790209135611305,1.8234449488447948,1.885729010085641,1.8169328591955805,1.6541639873194978,1.8683951986783174
2021-12-14,1.9654051660250949,1.8116830740199572,1.8694866989380372,1.8050546002811607,1.6468548959196512,1.8562543400437455
2021-12-15,1.9961145613448499,1.8271235482673962,1.9033224156362312,1.8223833682007744,1.6487019012357549,1.878241324032612
2021-12-16,1.9785121781525599,1.8164481786425999,1.8685832649277825,1.8016421008281371,1.6384842509937034,1.8573979821731936
2021-12-17,1.9574550880772104,1.812600154181216,1.864573377038215,1.7990599514908847,1.6469865111781137,1.8446498399374158
2021-12-20,1.936640561940221,1.796218735030245,1.8432108985374804,1.7823729730404088,1.6269593619024496,1.8229541184079014
2021-12-21,1.9710332844514733,1.8199439809156348,1.885425550232488,1.8039585497408863,1.6495331714665804,1.8575920656149854
2021-12-22,1.9907410177063696,1.8355195571041336,1.9054123185368197,1.8200765854693195,1.6599912149583005,1.8742763431209588
2021-12-23,2.003127378861585,1.8424365898905082,1.9192271092362263,1.823160712104136,1.6624648359444643,1.8860959911558273
2021-12-27,2.031476573219352,1.85747194322298,1.9448472086137019,1.8432786628991875,1.6715016414499648,1.9082232890387048
2021-12-28,2.0298160387568585,1.8514407745763832,1.9373496665794485,1.837493501201916,1.66406594011801,1.9026756152513375
2021-12-29,2.0324125911488258,1.8477638116733544,1.9387753286196217,1.8314945830467892,1.6561024802260684,1.9005320460806872
2021-12-30,2.0267941366243742,1.8526142580973155,1.934883451084133,1.8331020253748658,1.6669072556982834,1.9041448871434115
2021-12-31,2.021686074177395,1.8505226238315928,1.9278418501124976,1.828944815650505,1.6640841128528299,1.8954785950399269
2022-01-03,2.033391682469744,1.8506101499641752,1.9412716730102697,1.8283552239303513,1.6614647673329148,1.88644617348214
2022-01-04,2.0327105154396525,1.8481306668606932,1.9363389791177967,1.8247357712994174,1.651142955199546,1.8814481924568767
2022-01-05,1.993678291669125,1.8171523019474014,1.8984431345357689,1.792540880279243,1.6126061868841306,1.8557687523017474
2022-01-06,1.9918052894199854,1.8155691121846436,1.8941973544428024,1.7842436312323675,1.6166863653799999,1.8596105774577913
2022-01-07,1.9839307279628706,1.811163248097245,1.886710349447001,1.7781563185991895,1.600737994833213,1.8583335485277546
2022-01-10,1.9814620151878197,1.809138893579982,1.8805134863565514,1.7796109304373062,1.6005499357809683,1.859086855161281
2022-01-11,1.9995096281474474,1.8317520980382098,1.9024664931189614,1.8010818393938552,1.6177923273265231,1.8831820587796089
2022-01-12,2.00491533877377,1.8381345563419529,1.9128853098942395,1.80667219643167,1.6138506213630652,1.8928906761779423
2022-01-13,1.977290384837539,1.8213501255856095,1.8835061633029122,1.7812632341428813,1.60023887097289,1.8808661664064807
2022-01-14,1.9780992534288053,1.8183926284907406,1.8870346647800615,1.783491072163921,1.596246075668029,1.8713993546143073
