date,SPY,QQQ,IWM,EFA,EEM,TLT,GLD
2017-02-10,199.3676300048828,119.51312255859375,122.53497314453125,45.25554656982422,31.048913955688477,92.8640365600586,117.5999984741211
2017-02-13,200.45269775390625,120.18867492675781,122.854736328125,45.43613815307617,31.14640235900879,92.57181549072266,116.80000305175781
2017-02-14,201.25363159179688,120.59210968017578,123.26337432861328,45.36841583251953,31.178890228271484,91.90283966064453,116.93000030517578
2017-02-15,202.30416870117188,121.30516815185547,124.00067901611328,45.54150390625,31.430727005004883,91.47989654541016,117.44999694824219
2017-02-16,202.13197326660156,121.26761627197266,123.65423583984375,45.64684295654297,31.316987991333008,91.979736328125,118.08000183105469
2017-02-17,202.45057678222656,121.79304504394531,123.5743179321289,45.52643966674805,31.187021255493164,92.52568817138672,117.68000030517578
2017-02-21,203.6562042236328,122.3935317993164,124.54256439208984,45.676944732666016,31.52821159362793,92.36419677734375,117.75
2017-02-22,203.47544860839844,122.44043731689453,123.9917984008789,45.676944732666016,31.625701904296875,92.51802825927734,117.91000366210938
2017-02-23,203.61318969726562,121.980712890625,123.25452423095703,45.774776458740234,31.633817672729492,92.79486083984375,118.94000244140625
2017-02-24,203.87152099609375,122.21524047851562,123.16566467285156,45.44366455078125,31.26012420654297,93.82530212402344,119.69999694824219
2017-02-27,204.19012451171875,122.36538696289062,124.3648681640625,45.47377395629883,31.162643432617188,93.27163696289062,119.12000274658203
2017-02-28,203.63900756835938,121.9900894165039,122.4461441040039,45.40604782104492,30.862071990966797,93.61766815185547,119.2300033569336
2017-03-01,206.48939514160156,123.32240295410156,124.68465423583984,45.880123138427734,31.34136199951172,92.04895782470703,119.05999755859375
2017-03-02,205.18907165527344,122.7031478881836,123.25452423095703,45.57912063598633,30.788951873779297,91.71770477294922,117.58000183105469
2017-03-03,205.31826782226562,122.92833709716797,123.16566467285156,45.85002136230469,31.0245418548584,91.95653533935547,117.51000213623047
2017-03-06,204.7068328857422,122.6562271118164,122.32176971435547,45.70704650878906,31.040788650512695,91.51738739013672,116.72000122070312
2017-03-07,204.09544372558594,122.4498291015625,121.52227020263672,45.54902267456055,31.07328224182129,91.239990234375,115.77999877929688
2017-03-08,203.7165069580078,122.66561889648438,120.72281646728516,45.383460998535156,30.78082847595215,90.74688720703125,115.05999755859375
2017-03-09,203.97482299804688,122.75943756103516,120.24310302734375,45.55653762817383,30.537120819091797,90.02262115478516,114.47000122070312
2017-03-10,204.6896209716797,123.27549743652344,120.77610778808594,45.94032287597656,30.878318786621094,90.3385009765625,114.72000122070312
2017-03-13,204.79295349121094,123.48189544677734,121.06033325195312,46.18111801147461,31.308876037597656,89.76836395263672,114.73999786376953
2017-03-14,204.00929260253906,123.18164825439453,120.4829330444336,45.827449798583984,31.130151748657227,90.19987487792969,114.12000274658203
2017-03-15,205.7747344970703,123.941650390625,122.34838104248047,46.48212814331055,31.942520141601562,91.30159759521484,116.25
2017-03-16,205.36993408203125,123.85713958740234,122.50830841064453,46.70786666870117,32.13749313354492,90.83937072753906,116.7300033569336
2017-03-17,205.00927734375,123.81394958496094,122.99691009521484,46.82827377319336,32.080631256103516,91.4094467163086,116.98999786376953
2017-03-20,204.7843780517578,123.9267578125,122.4638671875,46.73044204711914,32.454307556152344,91.80247497558594,117.51000213623047
2017-03-21,202.15505981445312,122.04637908935547,119.00831604003906,46.51974868774414,32.09687805175781,92.56520080566406,118.54000091552734
2017-03-22,202.6307373046875,122.87374114990234,119.03496551513672,46.527278900146484,32.251224517822266,92.93505859375,118.83000183105469
2017-03-23,202.41453552246094,122.56352996826172,119.72782135009766,46.63261795043945,32.25934600830078,92.80404663085938,118.66999816894531
2017-03-24,202.26748657226562,122.81734466552734,119.81427001953125,46.76054763793945,32.34058380126953,93.13536071777344,118.86000061035156
2017-03-27,202.05992126464844,123.01475524902344,120.0369873046875,46.88095474243164,32.251224517822266,93.55912780761719,119.52999877929688
2017-03-28,203.5302734375,123.76691436767578,120.972412109375,47.106693267822266,32.34058380126953,92.93505859375,119.04000091552734
2017-03-29,203.7205352783203,124.34043884277344,121.3644027709961,47.106693267822266,32.397457122802734,93.48978424072266,119.33000183105469
2017-03-30,204.36923217773438,124.54727935791016,122.28201293945312,46.94115447998047,32.22685623168945,92.73470306396484,118.47000122070312
2017-03-31,203.89353942871094,124.4626693725586,122.47796630859375,46.8734245300293,31.999385833740234,93.00435638427734,118.72000122070312
2017-04-03,203.53892517089844,124.38742065429688,121.18621826171875,46.80569839477539,32.17811965942383,93.94245147705078,119.3499984741211
2017-04-04,203.66867065429688,124.58491516113281,121.04370880126953,46.790653228759766,32.194358825683594,93.43290710449219,119.62000274658203
2017-04-05,203.06324768066406,124.07717895507812,119.67171478271484,46.54231643676758,32.09687805175781,93.71853637695312,119.62000274658203
2017-04-06,203.63406372070312,124.14299011230469,120.78536224365234,46.54984664916992,32.040000915527344,93.5795669555664,119.18000030517578
2017-04-07,203.4264678955078,124.07717895507812,120.73188018798828,46.51974868774414,31.98314094543457,93.20124816894531,119.45999908447266
2017-04-10,203.5475616455078,124.12422180175781,120.99915313720703,46.467063903808594,31.853158950805664,93.63365173339844,119.45999908447266
2017-04-11,203.3053741455078,123.58828735351562,121.9612808227539,46.685302734375,31.780046463012695,94.52157592773438,121.19000244140625
2017-04-12,202.41453552246094,123.08995056152344,120.30425262451172,46.647674560546875,31.934396743774414,95.03886413574219,122.0199966430664
2017-04-13,201.09986877441406,122.60108947753906,119.12828826904297,46.34667205810547,31.796300888061523,95.33223724365234,122.5999984741211
2017-04-17,202.881591796875,123.61648559570312,120.52694702148438,46.63261795043945,32.12936782836914,95.03886413574219,122.23999786376953
2017-04-18,202.2761993408203,123.428466796875,120.5537338256836,46.42191696166992,31.72317886352539,96.281982421875,122.81999969482422
2017-04-19,201.9042205810547,123.62590026855469,120.972412109375,46.233795166015625,31.52821159362793,95.75696563720703,121.7300033569336
2017-04-20,203.5475616455078,124.6601333618164,122.51359558105469,46.6025276184082,31.91815948486328,95.3863296508789,121.95999908447266
2017-04-21,202.89886474609375,124.63189697265625,122.23744201660156,46.63261795043945,31.91815948486328,95.3863296508789,122.30999755859375
2017-04-24,205.13035583496094,126.1362075805664,123.76087188720703,47.814048767089844,32.373077392578125,94.91532897949219,121.4800033569336
2017-04-25,206.3238983154297,127.04816436767578,124.96358489990234,48.15268325805664,32.657405853271484,93.77265167236328,120.25
2017-04-26,206.19419860839844,126.86957550048828,125.60503387451172,48.01723098754883,32.535552978515625,94.28990936279297,120.83999633789062
2017-04-27,206.36720275878906,127.63114166259766,125.56936645507812,48.0623779296875,32.49494171142578,94.25904846191406,120.38999938964844
2017-04-28,205.91738891601562,127.85678100585938,123.88558197021484,48.00971221923828,32.54368591308594,94.467529296875,120.7699966430664
2017-05-01,206.43634033203125,128.99436950683594,124.59832000732422,48.205360412597656,32.730525970458984,93.68219757080078,119.66999816894531
2017-05-02,206.5142059326172,129.2106475830078,123.96572875976562,48.453678131103516,32.96611022949219,94.16189575195312,119.6500015258789
2017-05-03,206.2633819580078,128.79698181152344,123.19963836669922,48.355857849121094,32.74677658081055,94.22380065917969,117.9800033569336
2017-05-04,206.50555419921875,128.84396362304688,123.03035736083984,48.814876556396484,32.38121032714844,93.7595443725586,116.79000091552734
2017-05-05,207.3185577392578,129.31405639648438,123.82323455810547,49.3566780090332,32.6492919921875,93.84469604492188,117.01000213623047
2017-05-08,207.2839813232422,129.59613037109375,123.3065185546875,48.98795700073242,32.64116668701172,93.33402252197266,116.75
2017-05-09,207.09371948242188,130.0474090576172,123.25308227539062,48.8675537109375,33.055477142333984,93.32628631591797,116.05000305175781
2017-05-10,207.46559143066406,130.12261962890625,124.01922607421875,48.942806243896484,33.274818420410156,93.21798706054688,116.04000091552734
2017-05-11,207.0418243408203,130.01919555664062,123.15509033203125,48.82240676879883,33.347930908203125,93.21798706054688,116.5
2017-05-12,206.69580078125,130.3106689453125,122.50468444824219,49.09331512451172,33.48603820800781,93.92203521728516,116.83000183105469
2017-05-15,207.83753967285156,130.724365234375,123.45796203613281,49.341644287109375,33.827232360839844,93.666748046875,117.13999938964844
2017-05-16,207.64724731445312,131.26963806152344,123.50251007080078,49.657684326171875,33.85972213745117,94.01492309570312,117.6500015258789
2017-05-17,203.96279907226562,127.93199920654297,120.17060852050781,49.09331512451172,33.28294372558594,95.3843994140625,119.79000091552734
2017-05-18,204.7843780517578,129.05079650878906,120.60716247558594,49.176082611083984,32.730525970458984,95.49273681640625,118.80999755859375
2017-05-19,206.1163330078125,129.59613037109375,121.18621826171875,49.747982025146484,33.429168701171875,95.71710968017578,119.4000015258789
2017-05-22,207.16290283203125,130.68675231933594,122.005859375,49.808189392089844,33.4616584777832,95.45401763916016,119.9000015258789
2017-05-23,207.62132263183594,130.81837463378906,122.40670776367188,49.81571578979492,33.49415588378906,94.81185150146484,119.13999938964844
2017-05-24,208.1056671142578,131.4201202392578,122.48694610595703,49.8458137512207,33.62413787841797,95.34574127197266,119.61000061035156
2017-05-25,209.1002960205078,132.53892517089844,122.56706237792969,49.8458137512207,33.7866096496582,95.37663269042969,119.4800033569336
2017-05-26,209.05703735351562,132.77394104003906,122.5314712524414,49.70282745361328,33.908477783203125,95.53914642333984,120.54000091552734
2017-05-30,208.8754119873047,132.88681030273438,121.56929779052734,49.65016555786133,33.72974395751953,96.01109313964844,120.13999938964844
2017-05-31,208.82354736328125,132.8397979736328,121.44461059570312,49.71036148071289,33.46978759765625,96.25094604492188,120.62000274658203
2017-06-01,210.48410034179688,133.35687255859375,123.78755950927734,50.033939361572266,33.754119873046875,96.26107025146484,120.72000122070312
2017-06-02,211.18470764160156,134.87998962402344,124.5893783569336,50.58326721191406,33.924705505371094,97.40080261230469,121.61000061035156
2017-06-05,211.02899169921875,134.85179138183594,123.81428527832031,50.30483627319336,33.88407897949219,96.79600524902344,121.7300033569336
2017-06-06,210.35440063476562,134.31593322753906,123.69847869873047,50.16187286376953,33.90034484863281,97.32324981689453,123.0999984741211
2017-06-07,210.7436065673828,134.84239196777344,123.81428527832031,50.176910400390625,33.85972213745117,96.85807800292969,122.44999694824219
2017-06-08,210.84738159179688,134.98342895507812,125.50700378417969,50.08661651611328,34.06281280517578,96.60218811035156,121.6500015258789
2017-06-09,210.5273895263672,131.60812377929688,126.15731048583984,49.89848327636719,33.8028678894043,96.45484924316406,120.54000091552734
2017-06-12,210.48410034179688,130.9029998779297,125.95246887207031,49.71036148071289,33.62413787841797,96.42384338378906,120.36000061035156
2017-06-13,211.51333618164062,131.96543884277344,126.59388732910156,50.094139099121094,33.7866096496582,96.43938446044922,120.4800033569336
2017-06-14,211.24520874023438,131.39190673828125,125.84549713134766,50.056495666503906,33.77848434448242,97.92803192138672,119.81999969482422
2017-06-15,210.83876037597656,130.80894470214844,125.20407104492188,49.53728485107422,33.429168701171875,97.77302551269531,119.31999969482422
2017-06-16,210.8848114013672,130.24143981933594,124.89225006103516,49.95867919921875,33.48603820800781,97.96681213378906,119.33999633789062
2017-06-19,212.64039611816406,132.41917419433594,125.81876373291016,50.16187286376953,33.8191032409668,97.82727813720703,118.43000030517578
